word,lists,seen_tokens,seen_articles,last_seen
array,NAWL,0,0,
arrest,NGSL,0,0,
arrival,NGSL,0,0,
arrive,NGSL,0,0,
arrow,NAWL,0,0,
art,NGSL,0,0,
article,NGSL,0,0,
articulate,NAWL,0,0,
artifact,NAWL,0,0,
artificial,NAWL,0,0,
artist,NGSL,0,0,
artistic,NAWL,0,0,
artwork,NAWL,0,0,
as,NGSL;Spoken,0,0,
ashamed,NGSL,0,0,
aside,NGSL,0,0,
ask,NGSL;Spoken,0,0,
aspect,NAWL,0,0,
assembly,NAWL,0,0,
assert,NAWL,0,0,
assess,NGSL,0,0,
assessment,NGSL,0,0,
asset,NGSL,0,0,
assign,NGSL,0,0,
assignment,NAWL,0,0,
assist,NGSL,0,0,
assistance,NGSL,0,0,
assistant,NGSL,0,0,
associate,NGSL,0,0,
association,NGSL,0,0,
assume,NGSL,0,0,
assumption,NGSL,0,0,
assure,NGSL,0,0,
at,NGSL;Spoken,0,0,
athlete,NGSL,0,0,
athletic,NAWL,0,0,
atmosphere,NGSL,0,0,
atom,NAWL,0,0,
atomic,NAWL,0,0,
attach,NGSL,0,0,
attachment,NGSL,0,0,
attack,NGSL,0,0,
attempt,NGSL,0,0,
attend,NGSL,0,0,
attendance,NGSL,0,0,
attention,NGSL,0,0,
attitude,NGSL,0,0,
attract,NGSL,0,0,
attraction,NGSL,0,0,
attractive,NGSL,0,0,
attribute,NGSL,0,0,
auction,NAWL,0,0,
audience,NGSL,0,0,
audio,NAWL,0,0,
audit,NAWL,0,0,
aunt,NGSL,0,0,
author,NGSL,0,0,
authority,NAWL,0,0,
automatically,NGSL,0,0,
autonomy,NAWL,0,0,
autumn,NGSL,0,0,
availability,NAWL,0,0,
available,NGSL;Spoken,0,0,
average,NGSL,0,0,
avoid,NGSL,0,0,
award,NGSL,0,0,
aware,NGSL;Spoken,0,0,
awareness,NGSL,0,0,
away,NGSL;Spoken,0,0,
awful,NGSL;Spoken,0,0,
axiom,NAWL,0,0,
axis,NAWL,0,0,
baby,NGSL;Spoken,0,0,
back,NGSL;Spoken,0,0,
background,NGSL,0,0,
backward,NAWL,0,0,
bacteria,NAWL,0,0,
bacterial,NAWL,0,0,
bad,NGSL;Spoken,0,0,
badly,NGSL,0,0,
bag,NGSL;Spoken,0,0,
balance,NGSL,0,0,
ball,NGSL,0,0,
ban,NGSL,0,0,
band,NGSL,0,0,
bang,NAWL,0,0,
bank,NGSL,0,0,
bar,NGSL,0,0,
barely,NGSL,0,0,
bargain,NAWL,0,0,
barrel,NAWL,0,0,
barrier,NGSL,0,0,
base,NGSL;Spoken,0,0,
basic,NGSL,0,0,
basically,NGSL;Spoken,0,0,
basin,NAWL,0,0,
basis,NGSL,0,0,
bat,NAWL,0,0,
bath,NGSL,0,0,
battle,NGSL,0,0,
be,NGSL;Spoken,0,0,
beach,NGSL,0,0,
beam,NAWL,0,0,
bear,NGSL;Spoken,0,0,
beat,NGSL,0,0,
beautiful,NGSL,0,0,
beauty,NGSL,0,0,
because,NGSL;Spoken,0,0,
become,NGSL;Spoken,1,1,2025-11-09T08:55:46+00:00
bed,NGSL;Spoken,0,0,
bedroom,NGSL,0,0,
beer,NGSL,0,0,
before,NGSL;Spoken,0,0,
begin,NGSL;Spoken,0,0,
behave,NGSL,0,0,
behavior,NGSL,0,0,
behavioral,NAWL,0,0,
behind,NGSL;Spoken,0,0,
belief,NGSL,0,0,
believe,NGSL;Spoken,0,0,
bell,NGSL,0,0,
belong,NGSL,0,0,
below,NGSL,0,0,
belt,NGSL,0,0,
bend,NGSL,0,0,
beneath,NGSL,0,0,
benefit,NGSL;Spoken,0,0,
beside,NGSL,0,0,
besides,NGSL,0,0,
bet,NGSL;Spoken,0,0,
between,NGSL;Spoken,0,0,
beyond,NGSL,0,0,
bias,NGSL,0,0,
bid,NGSL,0,0,
big,NGSL;Spoken,1,1,2025-11-09T08:55:46+00:00
bike,NGSL,0,0,
bilingual,NAWL,0,0,
bill,NGSL;Spoken,0,0,
bin,NGSL,0,0,
binary,NAWL,0,0,
bind,NGSL,0,0,
biodiversity,NAWL,0,0,
biological,NGSL,0,0,
biologist,NAWL,0,0,
biology,NAWL,0,0,
bird,NGSL,0,0,
birth,NGSL,0,0,
bit,NGSL;Spoken,0,0,
bite,NGSL,0,0,
bizarre,NAWL,0,0,
black,NGSL;Spoken,0,0,
blame,NGSL,0,0,
blank,NAWL,0,0,
bleed,NAWL,0,0,
bless,NGSL,0,0,
blind,NGSL,0,0,
block,NGSL,0,0,
blog,NGSL,0,0,
blood,NGSL,0,0,
bloody,NGSL;Spoken,0,0,
blow,NGSL,0,0,
blue,NGSL,0,0,
board,NGSL;Spoken,0,0,
boat,NGSL,0,0,
bodily,NAWL,0,0,
body,NGSL;Spoken,0,0,
bomb,NGSL,0,0,
bond,NGSL,0,0,
bone,NGSL,0,0,
bonus,NAWL,0,0,
book,NGSL;Spoken,0,0,
boom,NGSL,0,0,
boost,NGSL,0,0,
boot,NGSL,0,0,
border,NGSL,0,0,
bore,NGSL,0,0,
borrow,NGSL,0,0,
boss,NGSL,0,0,
both,NGSL;Spoken,0,0,
bother,NGSL;Spoken,0,0,
bottle,NGSL,0,0,
bottom,NGSL;Spoken,0,0,
bound,NAWL,0,0,
boundary,NGSL,0,0,
bowl,NGSL,0,0,
box,NGSL;Spoken,0,0,
boy,NGSL;Spoken,0,0,
bracket,NAWL,0,0,
brain,NGSL,0,0,
branch,NGSL,0,0,
brand,NGSL,0,0,
bread,NGSL,0,0,
break,NGSL;Spoken,0,0,
breakdown,NAWL,0,0,
breakfast,NGSL,0,0,
breast,NGSL,0,0,
breath,NGSL;Spoken,0,0,
breathe,NGSL,0,0,
breed,NGSL,0,0,
bridge,NGSL,0,0,
brief,NGSL;Spoken,1,1,2025-11-09T08:55:46+00:00
briefly,NGSL,0,0,
bright,NGSL,0,0,
brilliant,NGSL,0,0,
bring,NGSL;Spoken,0,0,
broad,NGSL,0,0,
broadcast,NGSL,0,0,
broadly,NAWL,0,0,
brother,NGSL;Spoken,0,0,
brown,NGSL,0,0,
browne,NAWL,0,0,
brush,NGSL,0,0,
bubble,NAWL,0,0,
bucket,NAWL,0,0,
budget,NGSL;Spoken,0,0,
build,NGSL;Spoken,0,0,
bulk,NAWL,0,0,
bullet,NAWL,0,0,
bunch,NGSL,0,0,
bundle,NAWL,0,0,
burden,NGSL,0,0,
burn,NGSL,0,0,
burst,NGSL,0,0,
bury,NGSL,0,0,
bus,NGSL;Spoken,0,0,
business,NGSL;Spoken,0,0,
busy,NGSL,0,0,
but,NGSL;Spoken,0,0,
button,NGSL,0,0,
buy,NGSL;Spoken,0,0,
buyer,NGSL,0,0,
by,NGSL;Spoken,0,0,
cable,NGSL,0,0,
cake,NGSL,0,0,
calcium,NAWL,0,0,
calculate,NGSL,0,0,
calculation,NAWL,0,0,
calculator,NAWL,0,0,
calculus,NAWL,0,0,
call,NGSL;Spoken,0,0,
calm,NGSL,0,0,
camera,NGSL,0,0,
camp,NGSL,0,0,
campaign,NGSL,0,0,
campus,NAWL,0,0,
can,NGSL;Spoken,0,0,
cancel,NGSL,0,0,
cancer,NGSL,0,0,
candidate,NGSL,0,0,
cap,NGSL,0,0,
capability,NGSL,0,0,
capable,NGSL,0,0,
capacity,NGSL,0,0,
capillary,NAWL,0,0,
capital,NGSL,0,0,
capitalism,NAWL,0,0,
capitalist,NAWL,0,0,
capture,NGSL,0,0,
